,Dataset,Subject,Retest,Ix,Fullname,Sxfm,Dxfm,Clustering,Degree,Homophilic,Homotopic
17806,UM,0026129,2,2225,UM_0026129_2,ptr,ptr,(0.43070823587285395+0j),34.58826618075758,0.9175917016307535,0.162332423913722
17807,UM,0026129,2,2225,UM_0026129_2,ptr,combat,(0.39681285167799396+0.0030135908096667594j),34.68777424070263,0.8624257498800814,0.5511401315224673
17808,UM,0026143,1,2226,UM_0026143_1,raw,raw,(0.16803122497058415+0j),13.689046163071426,0.9985894778878373,0.12655209990275024
17809,UM,0026143,1,2226,UM_0026143_1,raw,zscore,(0.15861709766290344+0.0840863895404819j),-7.162410992073911,0.9742194970452843,0.01867129687789322
17810,UM,0026143,1,2226,UM_0026143_1,raw,ptr,(0.3938952909931618+0j),32.35534591194968,0.9999288160668813,0.009697032887313202
17811,UM,0026143,1,2226,UM_0026143_1,raw,combat,(0.17987735435538726+0.0029368824354212724j),12.84351895844649,0.9984741137550806,0.08578727565089289
17812,UM,0026143,1,2226,UM_0026143_1,ptr,raw,(0.4253781952912152+0j),34.510715394968415,0.9985894778878373,0.12655209990275024
17813,UM,0026143,1,2226,UM_0026143_1,ptr,zscore,(0.24658402850975294+0.12615152039988103j),-0.5487008853417275,0.9925286839553257,0.01572075413870638
17814,UM,0026143,1,2226,UM_0026143_1,ptr,ptr,(0.4224347694564694+0j),34.25555726306974,0.9999296507835002,0.01145158579311211
17815,UM,0026143,1,2226,UM_0026143_1,ptr,combat,(0.40350957749619887+0.004061734693204911j),34.75757603910834,0.9987826670537406,0.07911152248840647
17816,UM,0026143,2,2227,UM_0026143_2,raw,raw,(0.1725213574600129+0j),13.474962911637144,0.9657146207663496,0.6662035582825329
17817,UM,0026143,2,2227,UM_0026143_2,raw,zscore,(0.1591731661634174+0.08391126622470964j),-7.671701653697122,0.7900137179661106,0.31910014838028744
17818,UM,0026143,2,2227,UM_0026143_2,raw,ptr,(0.39184049716733627+0j),32.446361185983825,0.9973057498414223,0.24795443763011227
17819,UM,0026143,2,2227,UM_0026143_2,raw,combat,(0.19987855554990444+0.003356394836289266j),12.675555457856042,0.9661114587891214,0.5254619293887283
17820,UM,0026143,2,2227,UM_0026143_2,ptr,raw,(0.42438000052794256+0j),34.510715394968436,0.9657146207663496,0.6662035582825329
17821,UM,0026143,2,2227,UM_0026143_2,ptr,zscore,(0.2456527115718466+0.12682258075820665j),-1.1020221629178175,0.852238836640087,0.3677562201170974
17822,UM,0026143,2,2227,UM_0026143_2,ptr,ptr,(0.41989481067289885+0j),34.55360757510617,0.9967803897189316,0.2582991362753266
17823,UM,0026143,2,2227,UM_0026143_2,ptr,combat,(0.3923546459041869+0.004867451855347839j),34.80178050947581,0.9683317307488483,0.5831260817645918
