,Sxfm,Dxfm,Dataset1,Dataset2,Average
421,raw,raw,JHNU,MRN_1,0.3353670268477662
422,raw,raw,JHNU,NYU_1,0.3507176384822374
423,raw,raw,JHNU,NYU_2,0.3520472782276152
424,raw,raw,JHNU,SWU1,0.35436949307262566
425,raw,raw,JHNU,SWU2,0.3295041596777658
426,raw,raw,JHNU,SWU3,0.3315997002464382
427,raw,raw,JHNU,SWU4,0.3390423043484443
428,raw,raw,JHNU,UPSM_1,0.3591384357452496
429,raw,raw,JHNU,UWM,0.3534069909055178
430,raw,raw,JHNU,Utah1,0.353917835590645
431,raw,raw,JHNU,XHCUMS,0.3592884737103853
432,raw,raw,MRN_1,BMB_1,0.3482552019446624
433,raw,raw,MRN_1,BNU1,0.35454659438670316
434,raw,raw,MRN_1,BNU2,0.3452516906003567
435,raw,raw,MRN_1,BNU3,0.34958341703201967
436,raw,raw,MRN_1,HNU1,0.3387522587849779
437,raw,raw,MRN_1,IACAS_1,0.3161418302440416
438,raw,raw,MRN_1,IBATRT,0.3739588501693445
439,raw,raw,MRN_1,IPCAS_1,0.3299157169953526
440,raw,raw,MRN_1,IPCAS_2,0.32483195566195705
441,raw,raw,MRN_1,IPCAS_3,0.339564944384067
442,raw,raw,MRN_1,IPCAS_4,0.3457625524011478
443,raw,raw,MRN_1,IPCAS_5,0.34743533794063075
444,raw,raw,MRN_1,IPCAS_6,0.3141125876954826
445,raw,raw,MRN_1,IPCAS_7,0.31970709606158254
446,raw,raw,MRN_1,IPCAS_8,0.36481297158252773
447,raw,raw,MRN_1,JHNU,0.3353670268477662
448,raw,raw,MRN_1,MRN_1,0.3370334681493506
449,raw,raw,MRN_1,NYU_1,0.3498800712633028
450,raw,raw,MRN_1,NYU_2,0.35174924500367527
451,raw,raw,MRN_1,SWU1,0.35321598879621413
452,raw,raw,MRN_1,SWU2,0.3327256663667721
453,raw,raw,MRN_1,SWU3,0.3345756615443193
454,raw,raw,MRN_1,SWU4,0.339411269269103
455,raw,raw,MRN_1,UPSM_1,0.3579676628520086
456,raw,raw,MRN_1,UWM,0.35210744903718527
457,raw,raw,MRN_1,Utah1,0.35254735694990713
