,Sxfm,Dxfm,Column,Row,Value
302,raw,raw,23,5,0.066519
303,raw,raw,24,5,0.579089
304,raw,raw,25,5,0.092607
305,raw,raw,26,5,0.466605
306,raw,raw,27,5,0.494507
307,raw,raw,28,5,0.483154
308,raw,raw,29,5,0.440244
309,raw,raw,30,5,0.235573
310,raw,raw,31,5,0.242113
311,raw,raw,32,5,0.267748
312,raw,raw,33,5,0.111262
313,raw,raw,34,5,0.055285
314,raw,raw,35,5,0.287928
315,raw,raw,36,5,0.409643
316,raw,raw,37,5,0.164044
317,raw,raw,38,5,0.44207
318,raw,raw,39,5,0.109844
319,raw,raw,40,5,0.558326
320,raw,raw,41,5,0.284619
321,raw,raw,42,5,0.284294
322,raw,raw,43,5,0.234782
323,raw,raw,44,5,0.29577
324,raw,raw,45,5,0.192838
325,raw,raw,46,5,0.343315
326,raw,raw,47,5,0.118584
327,raw,raw,48,5,0.147268
328,raw,raw,49,5,0.080512
329,raw,raw,50,5,0.209461
330,raw,raw,51,5,0.16856
331,raw,raw,52,5,0.322995
332,raw,raw,53,5,0.124474
333,raw,raw,54,5,0.024605
334,raw,raw,55,5,0.075361
335,raw,raw,56,5,0.001322
336,raw,raw,57,5,0.009014
337,raw,raw,58,5,0.00466
338,raw,raw,59,5,0.426918
339,raw,raw,60,5,0.037586
340,raw,raw,61,5,0.547212
341,raw,raw,62,5,0.291069
342,raw,raw,63,5,0.40034
343,raw,raw,64,5,0.216424
344,raw,raw,65,5,0.276922
345,raw,raw,66,5,0.237395
346,raw,raw,67,5,0.156236
347,raw,raw,68,5,0.118328
348,raw,raw,69,5,0.039624
349,raw,raw,70,5,0.153156
350,raw,raw,1,6,0.419384
351,raw,raw,2,6,0.332227
352,raw,raw,3,6,0.316664
353,raw,raw,4,6,0.376062
354,raw,raw,5,6,0.05737
355,raw,raw,6,6,0.0
356,raw,raw,7,6,0.612667
357,raw,raw,8,6,0.711513
358,raw,raw,9,6,0.54984
359,raw,raw,10,6,0.591869
360,raw,raw,11,6,0.643031
361,raw,raw,12,6,0.824738
362,raw,raw,13,6,0.613972
363,raw,raw,14,6,0.806057
364,raw,raw,15,6,0.516409
365,raw,raw,16,6,0.467222
366,raw,raw,17,6,0.6373
367,raw,raw,18,6,0.651133
368,raw,raw,19,6,0.230282
