,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
301,NYU1,BNU2,ptr,-0.07845382912887655,1.0,0.03350558391991269,0.00879751874958713
302,NYU1,BNU2,zscore,-0.06879577689716415,1.0,0.03467565989571325,0.007846227156247491
303,NYU1,BNU2,combat,-0.029869690291765005,1.0,0.03800100770693337,0.005676677188485011
304,NYU1,BNU1,raw,0.41765215373318365,7.46684791096898e-18,0.031168036339981095,0.011067751616421406
305,NYU1,BNU1,ptr,-0.0874803936918531,1.0,0.031652145286794435,0.010552721531854412
306,NYU1,BNU1,zscore,-0.07394096110516829,1.0,0.030768631756454348,0.011512050135269883
307,NYU1,BNU1,combat,-0.030561777922862497,1.0,0.03158659892426555,0.010620990068780232
308,NYU1,UWM,raw,0.6781659788672025,2.0205315001713372e-20,0.06332744817597764,0.002826936573996086
309,NYU1,UWM,ptr,-0.11600880643473274,1.0,0.06967918503848156,0.0018327817353897757
310,NYU1,UWM,zscore,-0.099363726290097,1.0,0.06729790502804596,0.0021554197231898856
311,NYU1,UWM,combat,-0.047666708558359194,1.0,0.0687635194223645,0.0019506118451462211
312,NYU1,NYU2,raw,0.1363072136235029,1.4709536494369298e-11,0.025924234376646583,0.0020803845439046603
313,NYU1,NYU2,ptr,-0.04867323199690383,1.0,0.02403320239378121,0.00291670124373595
314,NYU1,NYU2,zscore,-0.040812953933042156,1.0,0.02278947456515009,0.0036461051438339176
315,NYU1,NYU2,combat,-0.017365008212648695,1.0,0.02438540876382518,0.0027384412212371665
316,NYU1,HNU1,raw,0.39493925774179894,2.723933605398926e-34,0.10228213223513585,3.5320224764082607e-10
317,NYU1,HNU1,ptr,-0.034491997758185414,1.0,0.10108680371441621,4.4435836487656646e-10
318,NYU1,HNU1,zscore,-0.029461848959292138,1.0,0.09999022019958796,5.485667127022627e-10
319,NYU1,HNU1,combat,-0.015373640293011538,1.0,0.10682952851559673,1.4754586541324398e-10
320,NYU1,IPCAS1,raw,0.580486832812293,5.161386460261724e-19,0.042217903077557455,0.009644444611016583
321,NYU1,IPCAS1,ptr,-0.11548147852878253,1.0,0.060339044268495894,0.00249293574928696
322,NYU1,IPCAS1,zscore,-0.10044767205307019,1.0,0.057676750391494995,0.0030349100130302844
323,NYU1,IPCAS1,combat,-0.04296896585647535,1.0,0.06159982671081427,0.002271642655209054
324,NYU1,UPSM1,raw,0.2037286077617444,1.9279583183642908e-15,0.034185972485455726,0.000723953125817085
325,NYU1,UPSM1,ptr,,,,
326,NYU1,UPSM1,zscore,,,,
327,NYU1,UPSM1,combat,-0.019792504402503547,1.0,0.03063919192426306,0.0012982913445558758
328,NYU1,IACAS,raw,0.6611789479262383,2.9182212088513305e-21,0.01199171690707053,0.10640023735867524
329,NYU1,IACAS,ptr,,,,
330,NYU1,IACAS,zscore,,,,
331,NYU1,IACAS,combat,-0.04191906839488569,1.0,0.019114303066139482,0.05914081270156235
332,NYU1,BNU3,raw,0.41868682469068214,4.3058158439714276e-13,0.0405400636147402,0.014416367921889845
333,NYU1,BNU3,ptr,-0.12171532436955643,1.0,0.050509733199560945,0.007238962947190992
334,NYU1,BNU3,zscore,-0.09985491399937906,1.0,0.043135830809993586,0.012034989651098324
335,NYU1,BNU3,combat,-0.03250234062674708,1.0,0.04405506834713745,0.011292012830902426
